accZ
-16.592
104.91999
210.81601
408.944
429.44
406.01599
229.848
292.31201
103.456
180.072
161.528
138.59199
-3.904
-25.864
39.528
-131.75999
-140.544
4.88
60.512
143.96
78.08
78.08
170.8
148.83999
77.104
222.04
507.03201
477.75201
557.78399
378.20001
153.23199
-135.664
-69.29599
-78.08
-110.288
-298.16799
-231.31199
-229.848
-123.952
-56.11999
284.50399
324.03201
522.16003
545.58398
530.94403
351.84799
406.992
303.048
183.488
-47.336
10.736
-143.472
-127.368
61.0
153.72
265.47201
244.488
318.17599
346.96801
329.888
391.86401
292.80001
166.89599
46.848
-168.848
-98.08799
-103.456
-69.784
-162.016
-139.08
-128.34399
10.248
-58.56
155.67199
261.56799
206.912
202.52
298.656
294.264
196.17599
409.92001
507.52002
540.70397
346.48001
187.88
127.368
-171.28799
-292.31201
-243.024
-422.11999
-312.80801
-422.608
-243.512
-258.152
35.624
101.50399
394.79199
515.328
555.83203
522.64801
319.152
234.24
284.50399
89.792
144.44799
-43.43199
57.096
-29.28
71.736
201.056
325.496
512.40002
370.88
338.18399
410.89599
227.408
258.64001
-12.688
-173.72799
-196.664
-392.83999
-386.496
-203.00799
-109.312
-140.544
56.11999
-14.152
181.53599
269.376
236.68
423.58401
326.47201
321.104
420.656
418.70401
312.32
327.936
411.384
299.14401
151.768
19.032
-77.104
-259.12799
-202.52
-435.29599
-374.78399
-345.50399
-207.888
-135.17599
176.16799
311.34399
383.08001
405.52801
398.69601
377.22399
201.544
259.61599
64.416
-8.784
53.192
24.4
53.68
157.624
201.544
366.0
477.264
631.47198
449.44799
354.776
242.53599
120.048
143.96
17.08
-264.00799
-385.03201
-344.52801
-335.74401
-228.872
-86.37599
51.728
152.744
104.43199
286.45599
222.04
395.768
413.824
407.96801
383.08001
239.608
237.16799
212.27999
264.496
172.264
60.024
-152.25599
-93.208
-123.464
-255.22399
-270.83999
-289.384
-310.85601
-289.872
-72.71199
-37.576
262.056
385.52002
395.768
293.776
157.136
58.56
28.792
57.096
-27.816
-41.968
30.256
5.368
60.024
89.304
409.432
443.104
625.12799
455.30401
356.23999
377.22399
275.23199
169.824
-59.048
-168.36
-270.35199
-208.376
-226.91999
-301.58401
-69.784
50.75199
182.512
279.13601
215.69599
247.904
242.048
237.656
217.64799
311.832
287.432
122.0
85.4
155.184
-42.944
20.496
-158.6
-178.608
-165.432
-134.19999
32.208
32.208
19.032
10.736
57.584
170.31199
295.23999
395.27999
409.92001
208.86399
77.104
-51.728
-138.104
-158.112
-146.4
-149.328
-159.576
-159.08799
0.976
-22.936
251.80799
412.84799
519.72003
550.95202
522.16003
434.32
211.304
251.80799
168.36
-39.528
18.544
-159.08799
-183.97599
-151.27999
54.16799
151.27999
256.20001
222.528
395.768
405.04
375.76001
311.34399
119.07199
181.048
147.86399
139.568
129.32
-11.224
-50.264
19.52
-142.00799
-145.912
5.856
-59.048
-1.464
159.08799
167.872
134.19999
-19.52
149.328
272.30401
417.23999
502.64001
336.72
305.0
-22.936
-168.848
-93.69599
-86.37599
-77.104
-121.024
-284.01599
-288.40799
-94.18399
49.776
90.27999
238.632
318.17599
344.52801
329.888
415.28799
227.89599
288.89599
99.552
155.67199
-17.08
-42.944
-25.37599
156.64799
99.552
288.89599
215.208
383.08001
402.6
395.768
230.33599
282.06399
64.90399
-44.408
-130.296
-170.8
-173.72799
-141.52
2.44
-129.32
-136.152
9.76
